| 9e96f0fe-1826-49fa-918d-480efe01530f | 2022-06-16T16:45:43+02:00 | MESSAGE_SERVICE | SetSeen | SUCCESS | 62752bf27407f54ce1839cb9 | [::1]:61860 | user seen chat:62a76abf5b14e448f4bd23e5 |
| 1d92bb3d-77a6-49d9-8579-813a74c76457 | 2022-06-16T16:45:44+02:00 | MESSAGE_SERVICE | GetChat | SUCCESS | 62752bf27407f54ce1839cb9 | [::1]:61860 | user get chat:62a76abf5b14e448f4bd23e4 |
| 6bca2690-ee18-4972-8a2e-802e38866a68 | 2022-06-16T16:45:44+02:00 | MESSAGE_SERVICE | SetSeen | SUCCESS | 62752bf27407f54ce1839cb9 | [::1]:61860 | user seen chat:62a76abf5b14e448f4bd23e4 |
| 93fbaeb8-c3ba-4c7f-8837-c13380a47023 | 2022-06-16T16:46:03+02:00 | AUTH_SERVICE | Login | SUCCESS | 62752bf27407f54ce1839cb9 | [::1]:50562 | successfully login |
| 476337fb-74a0-4b1f-8a84-f97fcaac46bd | 2022-06-16T16:46:03+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| a8d5079a-438b-4364-aa8c-30b5b7db3b57 | 2022-06-16T16:46:08+02:00 | CONNECTION_SERVICE | GetMyContacts | INFO | 62752bf27407f54ce1839cb9 |  |  |
| e688621a-f481-455f-b840-2615e213f0f0 | 2022-06-16T16:46:08+02:00 | MESSAGE_SERVICE | GetMyContacts | SUCCESS | 62752bf27407f54ce1839cb9 | [::1]:61860 |  |
| c4fe80ba-95d5-448f-8089-cf7a226e8ac6 | 2022-06-16T16:46:09+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| dd5b9f06-2ce8-419c-b512-a8bcbda92fdb | 2022-06-16T16:46:09+02:00 | CONNECTION_SERVICE | GetMyContacts | INFO | 62752bf27407f54ce1839cb9 |  |  |
| 7d055227-2fc8-4f1a-9644-1a35f1687082 | 2022-06-16T16:46:09+02:00 | MESSAGE_SERVICE | GetMyContacts | SUCCESS | 62752bf27407f54ce1839cb9 | [::1]:61860 |  |
| cfa96feb-8b09-474a-a0c5-846a28d8d1c2 | 2022-06-16T16:46:10+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| 179b3995-aac6-4153-af16-ae2fae44675f | 2022-06-16T16:46:11+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| 57099fcb-cf5e-4283-9084-87e106394fab | 2022-06-16T16:46:11+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| 08216ec8-da39-41e1-b4dd-d347063ebfe7 | 2022-06-16T16:46:12+02:00 | CONNECTION_SERVICE | GetFriends | INFO | 62752bf27407f54ce1839cb9 |  |  |
| cb9625b9-fdde-4874-b090-16ba3d5f5d89 | 2022-06-16T16:46:12+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| 79eceff9-54e8-4bf4-9476-24b3a0015029 | 2022-06-16T16:46:12+02:00 | CONNECTION_SERVICE | GetFriends | INFO | 62752bf27407f54ce1839cb9 |  |  |
| 43830bf1-16de-446d-9909-a915d5004c7b | 2022-06-16T16:46:12+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| ccd1da39-6216-4774-9099-b6ddb666cc20 | 2022-06-16T16:46:13+02:00 | CONNECTION_SERVICE | GetRecommendation | INFO | 62752bf27407f54ce1839cb9 |  |  |
| d826c87c-0e6f-43b6-a9b0-2f4e82d4377f | 2022-06-25T11:32:11+02:00 | AUTH_SERVICE | Login | ERROR | 62752bf27407f54ce1839cb7 | [::1]:51900 | Username or password is incorrect |
| 1858e3a2-a08d-48ee-b6e0-fb5aeab46a59 | 2022-06-25T11:32:27+02:00 | AUTH_SERVICE | Login | SUCCESS | 62752bf27407f54ce1839cb7 | [::1]:51900 | successfully login |
| c0eff0a9-5171-4e31-9a21-fee97f155861 | 2022-06-25T11:32:30+02:00 | AUTH_SERVICE | Login | SUCCESS | 62752bf27407f54ce1839cb7 | [::1]:51900 | successfully login |
| a4acb42f-235a-4852-a43f-5ad3955179a1 | 2022-06-25T11:32:31+02:00 | AUTH_SERVICE | Login | SUCCESS | 62752bf27407f54ce1839cb7 | [::1]:51900 | successfully login |
